,step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest,isFraud,isFlaggedFraud
5656297,396,CASH_OUT,141158.49,C593625654,0.0,0.0,C1754142396,3439459.14,3580617.64,0,0
3785858,280,TRANSFER,685700.01,C472077866,0.0,0.0,C537434209,1098987.76,1784687.77,0,0
4273147,307,CASH_OUT,38696.04,C1764737306,0.0,0.0,C1998690667,1379642.29,1418338.33,0,0
279677,15,CASH_OUT,58038.76,C1601342956,0.0,0.0,C1728766751,11719465.11,12128823.97,0,0
115603,11,PAYMENT,22602.38,C413574570,0.0,0.0,M1210452309,0.0,0.0,0,0
2493285,204,TRANSFER,169913.66,C1075488185,144722.0,0.0,C825884423,78476.52,248390.18,0,0
3483630,258,CASH_OUT,314147.67,C486149523,0.0,0.0,C766617265,7110305.22,7424452.89,0,0
5982933,408,CASH_IN,12832.79,C841183542,7154828.2,7167660.99,C2091086284,80142.91,67310.12,0,0
1378184,138,PAYMENT,18376.54,C1877141195,0.0,0.0,M658672105,0.0,0.0,0,0
2968791,231,CASH_OUT,109654.67,C1567965791,0.0,0.0,C1038251278,2342204.46,2451859.13,0,0
2687497,210,PAYMENT,3923.72,C1340572368,228492.97,224569.25,M497114390,0.0,0.0,0,0
3532863,259,TRANSFER,365234.1,C1198181548,0.0,0.0,C1549854117,6393313.48,6758547.58,0,0
1840704,163,CASH_IN,41167.44,C1146896480,4747481.4,4788648.83,C1997890348,12904837.42,12863669.99,0,0
2944713,230,CASH_OUT,334622.42,C1721574896,61703.97,0.0,C573778006,450503.55,785125.97,0,0
595914,33,CASH_OUT,408095.28,C15826418,119619.0,0.0,C1689108253,1607301.6,2015396.89,0,0
6230172,592,PAYMENT,16614.86,C1887577056,277.0,0.0,M1279274862,0.0,0.0,0,0
777909,39,CASH_IN,34.05,C618743409,90282.0,90316.05,C1820790108,0.0,0.0,0,0
2594454,207,PAYMENT,18264.47,C1930423511,204930.52,186666.05,M2118767016,0.0,0.0,0,0
2920722,229,CASH_OUT,84020.17,C718494518,0.0,0.0,C144092645,1541697.85,1625718.03,0,0
220239,14,PAYMENT,5892.41,C1897784948,40762.79,34870.38,M263717229,0.0,0.0,0,0
3319952,253,TRANSFER,1112306.01,C721235678,20199.0,0.0,C338563723,46887.23,1159193.24,0,0
4216031,305,CASH_IN,194572.63,C559969109,3592436.07,3787008.7,C581867998,8537260.55,8342687.93,0,0
3691245,277,PAYMENT,11510.76,C240739743,165452.28,153941.52,M177996203,0.0,0.0,0,0
1957551,178,CASH_OUT,428531.32,C911106127,102375.0,0.0,C125476121,132740.42,561271.74,0,0
4259703,306,TRANSFER,637858.59,C1342354019,38602.0,0.0,C1719241462,496740.7,1134599.29,0,0
5001000,353,CASH_OUT,97396.56,C483678517,0.0,0.0,C1613364665,948924.93,1046321.49,0,0
1147888,131,CASH_OUT,82935.23,C1807636920,47820.0,0.0,C1584684478,48921.43,131856.66,0,0
5727959,399,CASH_OUT,290559.62,C1647840328,29782.0,0.0,C2001941069,304613.34,595172.96,0,0
1883223,164,CASH_OUT,140366.89,C1849506085,0.0,0.0,C656131767,2910959.52,3051326.4,0,0
1727905,160,CASH_IN,270143.61,C1060148707,23436795.96,23706939.56,C480040137,2322184.29,1892697.22,0,0
1579157,155,CASH_IN,254851.89,C1297958925,4093233.71,4348085.6,C283241429,646530.15,391678.26,0,0
1821342,163,CASH_IN,159413.33,C1929777707,5382128.71,5541542.05,C1607185096,658349.53,498936.2,0,0
1411503,139,CASH_OUT,89098.11,C62289688,1348.0,0.0,C1062685541,0.0,89098.11,0,0
3444752,257,CASH_OUT,288730.81,C651991200,765.0,0.0,C1190174633,0.0,288730.81,0,0
4378684,311,CASH_IN,518174.98,C1612473793,8672751.95,9190926.93,C888064817,3177849.02,2659674.04,0,0
376999,17,CASH_IN,10481.27,C1865613787,358802.24,369283.51,C1681994370,439884.4,409717.28,0,0
1743023,161,PAYMENT,29026.4,C1560296668,10854.0,0.0,M239752725,0.0,0.0,0,0
1595344,156,CASH_OUT,127481.24,C516307773,0.0,0.0,C1484996570,538364.64,686301.23,0,0
97332,10,CASH_IN,21410.98,C486999678,30944.0,52354.98,C1682264452,0.0,0.0,0,0
2806860,225,PAYMENT,4546.11,C822831529,5723.0,1176.89,M321015837,0.0,0.0,0,0
3618533,273,PAYMENT,891.74,C2085165487,24309.0,23417.26,M1611227211,0.0,0.0,0,0
2032117,180,CASH_IN,49076.16,C1943292118,6179322.93,6228399.09,C169375607,157246.57,108170.41,0,0
1422540,139,CASH_IN,3846.13,C1606101648,2887376.83,2891222.96,C663770919,6541791.15,6537945.02,0,0
4309287,307,CASH_OUT,36904.37,C1701785197,5755.0,0.0,C1355228643,1099894.55,1136798.92,0,0
4536331,326,TRANSFER,836759.5,C485684943,0.0,0.0,C571235047,1782771.06,2619530.56,0,0
3679404,276,CASH_OUT,129025.84,C1542853059,0.0,0.0,C1615967358,1675040.04,1804065.88,0,0
3212214,249,CASH_IN,122217.44,C1488124799,28354.0,150571.44,C527568274,44574.54,0.0,0,0
4151220,303,CASH_OUT,157995.78,C1450480978,52316.0,0.0,C323800949,4166623.62,4324619.4,0,0
3432614,256,CASH_IN,183132.57,C1826188647,19817.0,202949.57,C123381036,1773545.95,1590413.38,0,0
2813618,225,TRANSFER,568016.7,C994666425,0.0,0.0,C1613897188,1628744.45,2196761.15,0,0
2923645,229,CASH_IN,173462.21,C1193399844,133682.0,307144.21,C648982013,0.0,0.0,0,0
5949471,405,PAYMENT,14621.98,C1199403008,0.0,0.0,M1712574598,0.0,0.0,0,0
2033023,180,CASH_IN,208901.94,C1696529914,4780110.58,4989012.51,C870486769,256451.93,47549.99,0,0
2018271,180,PAYMENT,22096.66,C1037899778,8561.22,0.0,M2018923021,0.0,0.0,0,0
304004,15,CASH_OUT,302735.12,C1389040244,29882.0,0.0,C1054427962,0.0,302735.12,0,0
5754027,399,TRANSFER,261186.03,C109475164,0.0,0.0,C1486172233,1093944.25,1355130.28,0,0
2681287,210,CASH_IN,37071.32,C580023131,435467.76,472539.08,C579230287,406285.11,369213.79,0,0
